category,sku,name,size_general,description,price,style_general,activity_general,material,sleeve,collar,pattern,climate,color,eco_collection,performance_fabric,erin_recommends,new,sale,special_price,attribute_set
"Men
Tops
Hoodies & Sweatshirts",MH11,"Grayson Crewneck Sweatshirt ","XS
S
M
L
XL","<p>The Grayson Crewneck Sweatshirt gives you that ageless, classic look &ndash; a style that comes back around nearly every season. What's more, its performance and temp-control values are always in vogue.</p>
<p>&bull; Cream crewneck sweatshirt with black accents.<br />&bull; 80% cotton/20% polyester fleece. <br />&bull; Patterned knit hood lining. <br />&bull; Knit cuffs and waist. <br />&bull; Pouch pocket. <br />&bull; Curl edged seam detail</p>",64,,"Outdoor
Lounge","Fleece
Organic Cotton",Long-Sleeve,Crew,Color-Blocked,"All-weather
Cool
Indoor
Spring
Windy","White
Red
Orange",,,,,,,Top
"Men
Tops
Hoodies & Sweatshirts",MH12,"Ajax Full-Zip Sweatshirt ","XS
S
M
L
XL","<p>The Ajax Full-Zip Sweatshirt makes the optimal layering or outer piece for archers, golfers, hikers and virtually any other sportsmen. Not only does it have top-notch moisture-wicking abilities, but the tight-weave fabric also prevents pilling from repeated wash-and-wear cycles.</p>
<p>&bull; Mint striped full zip hoodie.<br />&bull; 100% bonded polyester fleece.<br />&bull; Pouch pocket.<br />&bull; Rib cuffs and hem. <br />&bull; Machine washable.</p>",69,,,"Fleece
Polyester",Long-Sleeve,"Full Zip",Striped,"All-weather
Cool
Indoor
Spring
Windy","Green
Blue
Red",,,,,,,Top
"Men
Tops
Hoodies & Sweatshirts",MH13,"Marco Lightweight Active Hoodie","XS
S
M
L
XL","<p>For cold-weather training or post-game layering, you need something more than a basic fleece. Our Marco Lightweight Active Hoodie brings both style and performance to the plate, court, or touchline. The smooth-faced, brushed-back fabric blocks wind and traps body heat, while integrated Cocona&reg; fibers pull moisture away.</p>
<p>&bull; Light blue heather full zip hoodie.<br />&bull; Fitted flatlock seams.<br />&bull; Matching lining and drawstring. <br />&bull; Machine wash/dry.</p>",74,,"Outdoor
Running
Warmup","Cocona&reg; performance Fabric
Fleece",Long-Sleeve,"Full Zip",Solid,"All-weather
Cool
Indoor
Spring
Windy","Blue
Lavender
Green",,1,1,,,,Top
"Men
Tops
Jackets",MJ01,"Beaumont Summit Kit","XS
S
M
L
XL","<p>The smooth nylon shell around the Beaumont Summit Kit combats wind, reinforced with a cold-fighting brushed fleece layer. The jacket is reversible, giving you a new look for the return trek. Ample pocket space rounds out this hiker's paradise package.</p>
<p>&bull; Yellow full zip rain jacket.<br />&bull; Full-zip front. <br />&bull; Stand-up collar. <br />&bull; Elasticized cuffs. <br />&bull; Machine wash/dry.</p>",42.00,"Lightweight
Hooded
Rain Coat
Hard Shell
Windbreaker
&frac14; zip
Reversible","Outdoor
Running
Warmup","Fleece
LumaTech&trade;
Polyester",Long-Sleeve,N/A,Solid,"Cool
Rainy
Spring
Windy","Yellow
Orange
Red",,1,,,1,36.00,Top
"Men
Tops
Jackets",MJ02,"Hyperion Elements Jacket","XS
S
M
L
XL","<p>Boldly face high winds, frigid temps and stormy weather the whole winter through in the Hyperion Elements Jacket. LumaTech&trade; insulating technology helps maintain your core temperature and wick sweat. The smooth shell is water repellent and quilted to retain body heat.</p>
<p>&bull; Lime 1/4 zip pullover.<br />&bull; Split pocket. <br />&bull; Thumb holes. <br />&bull; Machine wash/hang to dry.</p>",51,"Insulated
Rain Coat
Hard Shell
Windbreaker
&frac14; zip ","Outdoor
Running
Warmup","Fleece
LumaTech&trade;
Polyester",Long-Sleeve,N/A,Solid,"Cool
Rainy
Spring
Windy","Green
Orange
Red",,1,,1,,,Top
"Men
Tops
Jackets
Collections
Eco Friendly",MJ04,"Kenobi Trail Jacket","XS
S
M
L
XL","<p>Aside from sealed seams to keep moisture out and body heat in, the Kenobi Trail Vest is all about media convenience. Use your phone and music player without ever taking it out of its cozy compartment: an attached remote on the left chest lets you change songs, pause and raise/lower volume.</p>
<p>&bull; Black 1/4 zip pullover with royal zipper. <br />&bull; Adjustable hood and sleeve cuffs. <br />&bull; Machine wash/air dry.</p>",47,"Insulated
Soft Shell
&frac14; zip ","Outdoor
Warmup","Cotton
Fleece
Nylon",Sleeveless,N/A,Solid,"Cold
Cool
Spring
Windy
Wintry","Black
Blue
Purple",1,,,,,,Top
"Men
Tops
Jackets",MJ07,"Orion Two-Tone Fitted Jacket","XS
S
M
L
XL","<p>While you're getting fit, you need a fitted jacket to match. Striking color blocking patterns on hood, shoulders and arms are hallmarks of the Orion Two-Tone Fitted Jacket. They provide eye-catching contrast against the rich, torso tones of this 100% polyester, moisture-wicking essential.</p>
<p>&bull; Red full zip fleece with gray insets.<br />&bull; Double-knit construction.<br />&bull; Full athletic cut.<br />&bull; Set in sleeves.<br />&bull; Front pouch pocket.</p>",72,"Lightweight
Hooded
Rain Coat
Soft Shell
Full zip","Outdoor
Running
Warmup
Yoga",Polyester,Long-Sleeve,N/A,"Solid ","All-weather
Cool
Rainy
Spring
Windy","Red
Yellow
Black",,,,,,,Top
"Men
Tops
Jackets",MJ08,"Lando Gym Jacket","XS
S
M
L
XL","<p>The Lando Gym Jacket offers strategic ventilation at perspiration-prone areas, while moisture-wicking technology helps you stay dry. Side-seam pockets house your favorite media device, so you're plugged in when working out.</p>
<p>&bull; Gray polyester/spandex full zip jacket with orange lining. <br />&bull; Right pocket device storage.<br />&bull; Cocona&reg; performance fabric. <br />&bull; Machine wash/dry.</p>",99,"Soft Shell
&frac14; zip
&frac14; zip
Full zip","Gym
Outdoor
Running
Warmup
Yoga
Lounge","Spandex
Polyester",Long-Sleeve,N/A,"Solid ","Cold
Cool
Windy
Wintry","Gray
Green
Blue",,,1,,,,Top
"Men
Tops
Jackets",MJ09,"Taurus Elements Shell","XS
S
M
L
XL","<p>What's a little rain or snow when you're inside the Taurus Elements Shell? This specially engineered Cocona&reg; jacket lets you enjoy the great outdoors and brave the elements, thanks to the all-waterproof, breathable exterior.</p>
<p>&bull; Yellow 1/4 zip pullover. <br />&bull; Two chest pockets.<br />&bull; Standard fit. <br />&bull; Waterproof, breathable, seam sealed. <br />&bull; Cocona&reg; performance fabric. <br />&bull; Machine wash/dry.</p>",65,"Jacket
Lightweight
Rain Coat
Windbreaker
&frac14; zip ","Outdoor
Warmup
Lounge","Cocona&reg; performance fabric
Lycra&reg;
Polyester",Long-Sleeve,N/A,"Solid ","Cool
Mild
Rainy
Spring
Windy","Yellow
Blue
White",,,,,,,Top
"Men
Tops
Jackets",MJ10,"Mars HeatTech&trade; Pullover","XS
S
M
L
XL","<p>The Mars HeatTech&trade; Jacket defense against winter climes so you can play offense in the park, on the trail or in the deck chair. Great for the ski lodge or stadium, it features a wind- and water-resistant outer shell with a draw-cord hood and deep pockets for storage.</p>
<p>&bull; Red 1/4 zip pullover.<br />&bull; Adjustable VELCRO&reg; sleeve cuffs. <br />&bull; Two hand pockets. <br />&bull; Napoleon pocket. <br />&bull; Machine wash/dry</p>",66,"Lightweight
Rain Coat
Hard Shell
Windbreaker
&frac14; zip","Outdoor
Running
Warmup","Nylon
Polyester",Long-Sleeve,N/A,Solid,"All-weather
Cool
Mild
Rainy
Spring
Windy","Red
Black
Orange",,,,,,,Top
"Men
Tops
Jackets",MJ11,"Typhon Performance Fleece-lined Jacket","XS
S
M
L
XL","<p>Ironmen and couch warriors both reach for the Typhon Performance Fleece-lined Jacket. After all, no man can resist ultra-soft microfleece lining. Flatlock seams make it ideal for wearing over everything from tanks and tees to high-tech base layers.</p>
<p>&bull; Black full-zip flight jacket.<br />&bull; Cocona&reg; wicking fiber.<br />&bull; Machine wash/dry.</p>",60.00,"Insulated
Heavy Duty
Hard Shell
Windbreaker
Full zip","Outdoor
Running
Warmup","Cocona&reg; performance fabric
Nylon
Polyester",Long-Sleeve,N/A,"Solid ","All-weather
Spring
Windy
Wintry","Black
Red
Green",,1,,,1,52.00,Top
"Men
Tops
Jackets
Collections
Eco Friendly",MJ06,"Jupiter All-Weather Trainer ","XS
S
M
L
XL","<p>Inclement climate be damned. With your breathable, water-resistant Jupiter All-Weather Trainer, you can focus on fuel and form and leave protection and comfort to us. The fabric is a special light fleece that wicks moisture and insulates at once.</p>
<p>&bull; Relaxed fit. <br />&bull; Hand pockets. <br />&bull; Machine wash/dry.<br />&bull; Reflective safety trim.</p>","56,99","Insulated
Lightweight
Soft Shell
Full zip","Gym
Outdoor
Running
Warmup
Yoga
Lounge","Fleece
Hemp
Nylon",Long-Sleeve,N/A,Solid,"All-weather
Indoor
Mild
Spring
Warm","Blue
Green
Purple",1,,1,,,,Top
"Men
Tops
Jackets",MJ03,"Montana Wind Jacket","XS
S
M
L
XL","<p>Light-as-a-feather wind protection for runners, walkers and outdoor fitness buffs, the Montana Wind Jacket can be stuffed into your pocket for portable protection. Its stylish, move-with-you design makes it especially versatile.</p>
<p>Adjustable hood. <br />Split pocket. <br />Thumb holes. <br />Machine wash/hang to dry.</p>",49,"Lightweight
Hooded
Hard Shell
Windbreaker
Full zip","Outdoor
Warmup
Lounge","Nylon
Polyester",Long-Sleeve,N/A,Solid,"Cool
Mild
Spring
Windy","Black
Green
Red",,,,1,,,Top
"Men
Tops
Jackets",MJ12,"Proteus Fitness Jackshirt","XS
S
M
L
XL","<p>Part jacket, part shirt, the Proteus Fitness Jackshirt makes an ideal companion for outdoor training, camping or loafing on crisp days. Natural Cocona&reg; technology brings breathable comfort and increased dryness along with UV protection and odor management. The drop-tail hem provides extra coverage when you're riding a bike or replacing a sink valve.</p>
<p>&bull; 1/4 zip. Stand-up collar. <br />&bull; Machine wash/dry.<br />&bull; Quilted inner layer.</p>",45,"Insulated
Heavy Duty
Soft Shell
&frac14; zip ","Gym
Outdoor
Running
Warmup","Wool
Fleece
Polyester",Long-Sleeve,N/A,Solid,"All-weather
Cool
Indoor
Spring","Orange
Blue
Black",,,,,,,Top
"Men
Tops
Tees",MS04,"Gobi HeatTec&reg; Tee","XS
S
M
L
XL","<p>When the training gets intense, the Gobi HeatTec&reg; Tee works as hard as you do to maintain your cool. The moisture-wicking material promises drier comfort, while breathable side panels deliver extra stretch that's sure to keep you moving.</p>
<p>&bull; Orange micropolyester shirt.<br />&bull; HeatTec&reg; wicking fabric.<br />&bull; Crew neckline. <br />&bull; Machine wash/dry.</p>",29,Tee,"Gym
Outdoor
Running
Yoga","Cotton
HeatTec&reg;
Polyester",Short-Sleeve,Crew,Solid,"All-weather
Indoor
Warm","Orange
Red
Black",,1,,1,,,Top
"Men
Tops
Tees
Collections
Eco Friendly",MS05,"Helios EverCool&trade; Tee","XS
S
M
L
XL","<p>Pumping iron or dialing the track, you've got cool comfort on your side in our short-sleeve Helios EverCool&trade; Tee. The fabric is infused with moisture-wicking technology that pulls sweat off your skin for speedy evaporation. Stretchy fabric gussets encourage ventilation while increasing your range of motion.</p>
<p>&bull; Teal quick dry tee.<br />&bull; Relaxed fit. <br />&bull; Crew neckline. <br />&bull; Machine wash/dry.</p>",24,Tee,"Gym
Outdoor
Running
Yoga","EverCool&trade;
Lycra&reg;
Organic Cotton",Short-Sleeve,Crew,Solid,"All-weather
Indoor
Warm","Blue
Black
Purple",1,1,,,,,Top
"Men
Tops
Tees",MS09,"Ryker LumaTech&trade; Tee (Crew-neck)","XS
S
M
L
XL","<p>The crew-neck Ryker LumaTech&trade; Tee hides premium performance technology beneath unassuming looks. The featherweight blend of fabrics wicks away moisture to keep you cool and dry in every phase of your active life.</p>
<p>&bull; Royal polyester tee with black accents.<br />&bull; Relaxed fit. <br />&bull; Short-Sleeve. <br />&bull; Machine wash/dry.</p>",32,Tee,"Gym
Outdoor
Running
Yoga","LumaTech&trade;
Polyester",Short-Sleeve,Crew,Solid,"All-weather
Indoor
Warm","Blue
Black
Red",,,1,,,,Top
"Men
Tops
Tees",MS11,"Atomic Endurance Running Tee (V-neck)","XS
S
M
L
XL","<p>Reach your limit and keep on going in the Atomic Endurance Running Tee. Built to help any athlete push past the wall with loads of performance features.</p>
<p>&bull; Lime heathered v-neck tee. <br />&bull; Ultra-lightweight.<br />&bull; Moisture-wicking Cocona&reg; fabric.<br />&bull; Machine wash/dry.</p>",28.00,Tee,"Gym
Outdoor
Running
Yoga","Cocona&reg; performance fabric
Organic Cotton
Polyester",Short-Sleeve,Crew,Solid,"All-weather
Indoor
Warm","Green
Blue
Yellow",,1,,,1,24.00,Top
"Men
Tops
Tees",MS12,"Atomic Endurance Running Tee (Crew-Neck)","XS
S
M
L
XL","<p>Like it's v-neck counterpart, the crew-neck Atomic Tee will get you to your goal and beyond with its many load-bearing features: ultra-lightweight, moisture-wicking Cocona&reg; fabric, chafe-free flatlock seams and an ergonomic cut that moves with your body.</p>
<p>&bull; Red polyester tee.<br />&bull; Crew neckline. <br />&bull; Cocona&reg; performance fabric. <br />&bull; Machine wash/dry.</p>",29,Tee,"Gym
Outdoor
Running
Yoga","Cocona&reg; performance fabric
Organic Cotton
Polyester",Short-Sleeve,Crew,Solid,"All-weather
Indoor
Warm","Red
Blue
Black",,,,1,,,Top
"Men
Tops
Tees",MS03,"Balboa Persistence Tee","XS
S
M
L
XL","<p>The Balboa Persistence Tee is a must-have for any athlete, Philadelphia or elsewhere. We took the best of performance apparel, cut the fluff and boiled it down to the basics for a lightweight, quick-drying t-shirt.</p>
<p>&bull; Crew neckline. <br />&bull; Semi-fitted. <br />&bull; Cocona&reg; performance fabric. <br />&bull; Machine wash/dry.</p>",29,Tee,"Gym
Outdoor
Running
Yoga","Cocona&reg; performance fabric
Polyester",Short-Sleeve,Crew,Solid,"All-weather
Indoor
Warm","Gray
Orange
Green",,1,1,,,,Top
"Men
Tops
Tees",MS06,"Zoltan Gym Tee","XS
S
M
L
XL","<p>This short-sleeve wonder works twice as hard to give you good gym days and good looks. The Zoltan Gym Tee helps you stay comfortable, while the looser sleeves and flatlock seams keep you moving in chafe-free comfort.</p>
<p>&bull; Relaxed fit. <br />&bull; Crew neckline. <br />&bull; Machine wash/dry.</p>",29,Tee,"Gym
Outdoor
Running
Yoga","Organic Cotton
Polyester",Short-Sleeve,Crew,Solid,"All-weather
Indoor
Warm","Blue
Green
Yellow",,,,1,,,Top
"Men
Tops
Tees",MS01,"Aero Daily Fitness Tee","XS
S
M
L
XL","<p>Need an everyday action tee that helps keep you dry? The Aero Daily Fitness Tee is made of 100% polyester wicking knit that funnels moisture away from your skin. Don't be fooled by its classic style; this tee hides premium performance technology beneath its unassuming look.</p>
<p>Relaxed fit. <br />Short-Sleeve. <br />Machine wash/dry.</p>",24,Tee,"Gym
Outdoor
Running
Yoga",Polyester,Short-Sleeve,Crew,Solid,"All-weather
Indoor
Warm","Brown
Black
Yellow",,,,,,,Top
"Men
Tops
Tees",MS02,"Ryker LumaTech&trade; Tee (V-neck)","XS
S
M
L
XL","<p>Don't be fooled by its classic style; the Ryker LumaTech&trade; Tee embodies the future of performance apparel. Its featherweight blend of fabrics wicks away moisture to keep you cool and dry, whether racking up miles, hitting three pointers or strutting the boardwalk.</p>
<p>&bull; Relaxed fit. <br />&bull; Short-Sleeve. <br />&bull; Machine wash/dry.</p>",28.00,Tee,"Gym
Outdoor
Running
Yoga","LumaTech&trade;
Cotton
Rayon",Short-Sleeve,Crew,Solid,"All-weather
Indoor
Warm","Gray
Black
Blue",,,,,1,24.00,Top
"Men
Tops
Tees",MS10,"Logan  HeatTec&reg; Tee","XS
S
M
L
XL","<p>Soft and lightweight, the Logan HeatTec&reg; Tee gets you through the long haul in total comfort. It boasts superior sweat-wicking performance to keep skin dry and cool, and strategic flat-lock seams to resist chafing.</p>
<p>&bull; Semi-fitted. <br />&bull; Crew neckline. <br />&bull; Machine wash/tumble dry.</p>",24,Tee,"Gym
Outdoor
Running
Yoga","Cotton
HeatTec&reg;",Short-Sleeve,Crew,Solid,"All-weather
Indoor
Warm","Blue
Black
Red",,,,,,,Top
"Men
Tops
Tees",MS07,"Deion Long-Sleeve EverCool&trade; Tee","XS
S
M
L
XL","<p>When you're training, ordinary tees don't cut it. That's why the Dion Long-Sleeve EverCool&trade; Tee features revolutionary Cocona&reg; fabric derived from a renewable resource: coconut shells. This unique material protects you from harmful UV rays, wicks away sweat, controls stink and dries quickly.</p>
<p>&bull; Fitted. <br />&bull; Contrast inner neck tape. <br />&bull; Machine wash/dry.</p>",39,Tee,"Gym
Outdoor
Running
Yoga","Cocona&reg; performance fabric
EverCool&trade;
Organic Cotton",Long-Sleeve,Crew,Solid,"All-weather
Cool
Indoor
Warm","Green
White
Black",,,,,,,Top
"Men
Tops
Tees",MS08,"Strike Endurance Tee","XS
S
M
L
XL","<p>While grit and purpose keep you going, it helps to have a little extra comfort, too. Our Strike Long-Sleeve Endurance Tee helps ensures a photo-ready finish with advanced sweat-wicking technology for a cool, dry feel.</p>
<p>&bull; Loose fit. <br />&bull; Ribbed cuffs/collar. <br />&bull; Machine wash/dry.</p>",39,Tee,"Gym
Outdoor
Running
Yoga","Organic Cotton
Polyester",Long-Sleeve,Crew,Solid,"All-weather
Cool
Indoor
Warm","Blue
Black
Red",,,1,1,,,Top
"Men
Tops
Tanks",MT01,"Erikssen CoolTech&trade; Fitness Tank","XS
S
M
L
XL","<p>A good running tank helps make the miles pass by keep you cool. The Erikssen CoolTech&trade; Fitness Tank completes that mission, with performance fabric engineered to wick perspiration and promote airflow.</p>
<p>&bull; Red performance tank.<br />&bull; Slight scoop neckline. <br />&bull; Reflectivity. <br />&bull; Machine wash/dry.</p>",29,Tank,"Gym
Outdoor
Running
Yoga","Cotton
HeatTec&reg;
Polyester",Sleeveless,Crew,Solid,"All-weather
Indoor
Warm","Red
Orange
Gray",,,,,,,Top
"Men
Tops
Tanks",MT02,"Tristan Endurance Tank","XS
S
M
L
XL","<p>Push yourself through punishing runs, plyometric workouts, intense competition and more in our athletic Tristan Endurance Tank. Constructed with built-in moisture-wicking technology, it's designed to keep you completely cool and dry on the long haul.</p>
<p>&bull; White performance tank.<br />&bull; Stylish contrast stitching. <br />&bull; Relaxed fit. <br />&bull; Ribbed crew neckline. <br />&bull; Machine wash/dry.</p>",29,Tank,"Gym
Outdoor
Running
Yoga","EverCool&trade;
Lycra&reg;
Organic Cotton",Sleeveless,Crew,Solid,"All-weather
Indoor
Warm","White
Gray
Red",,,,,,,Top
"Men
Tops
Tanks",MT03,"Primo Endurance Tank","XS
S
M
L
XL","<p>Chances are your workout goes beyond free weights, which is why the Primo Endurance Tank employs maximum versatility. Run, lift or play ball &ndash; this breathable mesh top will keep you cool during all your activities.</p>
<p>&bull; Red heather tank with gray pocket.<br />&bull; Chafe-resistant flatlock seams. <br />&bull; Relaxed fit. <br />&bull; Contrast topstitching.<br />&bull; Machine wash/dry.</p>",29,Tank,"Gym
Outdoor
Running
Yoga","LumaTech&trade;
Polyester",Sleeveless,Scoop-Neck,Solid,"All-weather
Indoor
Warm","Blue
Red
Yellow",,,,,,,Top
"Men
Tops
Tanks",MT04,"Helios Endurance Tank","XS
S
M
L
XL","<p>When training pushes your limits, you need gear that works harder than you. Our mesh Helio Training Tank is crafted from super-soft, ultra-lightweight fabric that stretches in all directions to follow your every move, on mat, court or street.</p>
<p>&bull; Blue heather tank with gray pocket.<br />&bull; Contrast sides and back inserts.<br />&bull; Self-fabric binding at neck and armholes. <br />&bull; Machine wash/dry.</p>",32,Tank,"Gym
Outdoor
Running
Yoga","Cocona&reg; performance fabric
Organic Cotton
Polyester",Sleeveless,Scoop-Neck,Solid,"All-weather
Indoor
Warm",Blue,,1,1,1,,,Top
"Men
Tops
Tanks",MT05,"Rocco Gym Tank","XS
S
M
L
XL","<p>Weights? Heavy Bag? Bikram? However you get sweaty, you'll be prepared with the moisture-wicking all-purpose Rocco Gym Tank. The free-moving cut gives you maximum range of motion, with flatlock seams to eliminate chafing.</p>
<p>&bull; Light blue heather gray tank.<br />&bull; Quick-drying, moisture-wicking.<br />&bull; 4-way stretch construction.<br />&bull; Flatlock seams prevent chafing.<br />&bull; Mesh at back for breathability.<br />&bull; 100% Polyester.<br />&bull; UPF 50 protection.</p>",24,Tank,"Gym
Outdoor
Running
Yoga","Cocona&reg; performance fabric
Organic Cotton
Polyester",Sleeveless,Crew,Solid,"All-weather
Indoor
Warm",Blue,,1,,,,,Top
"Men
Tops
Tanks",MT06,"Vulcan Weightlifting Tank","XS
S
M
L
XL","<p>The Olympic styled Vulcan Weightlifting Tank features polyester stretch and flex. Hit the rack in sleeveless style and unleash your personal best. This tank is designed to max performance, comfort and range of motion.</p>
<p>&bull; Black polyester spandex tank.<br />&bull; 100% polyester.<br />&bull; Freedom of movement.<br />&bull; No-chafe seams.</p>",28,Tank,"Gym
Outdoor
Running
Yoga","Cocona&reg; performance fabric
Polyester",Sleeveless,Crew,Solid,"All-weather
Indoor
Warm",Black,,1,,,,,Top
