category,name,sku,size,description,price,style_general,activity_general,material,sleeve,collar,pattern,climate,color,eco_collection,performance_fabric,erin_recommends,new,sale,special_price,attribute_set
"Women
Tops
Hoodies & Sweatshirts
Collections
Erin Recommends","Eos V-Neck Hoodie",WH11,"XS
S
M
L
XL","<p>Getting chilly before class starts? Wear the Eos on your way to and from yoga for a cute and cozy warmup piece. Reach for its reliable comfort and enjoy a super-soft blend of fabrics finished in sporty style that includes a hidden kangaroo pocket.</p>
<p>Semi-fitted. <br />Long-Sleeve. <br />Machine wash/line dry.</p>",54,"Pullover
Sweatshirt","Gym
Yoga
Lounge","Fleece
Polyester
Spandex",Long-Sleeve,V-neck,Solid,"Cool
Indoor
Mild","Blue
Orange
Green",,,1,,,,Top
"Women
Tops
Hoodies & Sweatshirts
Collections
Performance Fabrics","Circe Hooded Ice Fleece",WH12,"XS
S
M
L
XL","<p>Keep shivers at bay with the Circe Hooded Ice Fleece. Ultra-thick, high-pile fleece traps your body heat and keeps cold outside. The drawstring hood and ribbed details add extra coziness and touches of classic style. Its relaxed fit is loose enough to layer comfortably over your shirt.</p>
<p>Full-zip front. <br />Three-panel hood. <br />Flatlock seams throughout. <br />Welt hand pockets. <br />Machine wash/dry.</p>",68,"Hoodie
Sweatshirt
Full zip","Outdoor
Post-workout
Warmup","Fleece
CoolTech&trade;",Long-Sleeve,"Stand Collar",Solid,"Cold
Cool
Wintry","Gray
Green
Purple",1,1,,,,,Top
"Women
Tops
Jackets
Collections
New Luma Yoga Collection
Collections
Erin Recommends","Stellar Solar Jacket",WJ01,"S
M
L","<p>Beat the heat and protect yourself from sunrays with the Stellar Solar Jacket. It's loaded with all the engineered features you need for an intense, safe outdoor workout: 100% UV protection, a breathable perforated construction, and advanced moisture-wicking technology.</p>
<p>&bull; Loose fit. <br />&bull; Reflectivity. <br />&bull; Flat seams. <br />&bull; Machine wash/dry.<br />&bull; Deep pink jacket with front panel rouching</p>",75,"Jacket
Hooded
Soft Shell
Full zip","Hike
Outdoor
Running
Warmup
Yoga
Lounge","Cocona&reg; performance fabric
Wool
Fleece",Long-Sleeve,"High Collar",Solid,"All-weather
Mild
Spring
Windy","Red
Blue
Yellow",1,,1,1,,,Top
"Women
Tops
Jackets
Promotions
Women Sale","Josie Yoga Jacket",WJ02,"XS
S
M
L
XL","<p>When your near future includes yoga, the cozy comfort of the Josie Yoga Jacket gets your mind and body ready. Stretchy CoolTech&trade; fabric with zipper pockets makes this jacket the right gear for studio time or teatime after.</p>
<p>&bull; Slate rouched neck pullover.<br />&bull; Moisture-wicking fabric.<br />&bull; Hidden zipper.<br />&bull; Mesh armpit venting.<br />&bull; Dropped rear hem.</p>",56.25,"Jacket
Pullover
Lightweight
Soft Shell","Gym
Warmup
Yoga","Polyester
Spandex
CoolTech&trade;",Long-Sleeve,"High Collar
",Solid,"Indoor
Mild
Spring","Gray
Blue
Black",,,,,1,45.00,Top
"Women
Tops
Jackets","Augusta Pullover Jacket",WJ03,"XS
S
M
L
XL","<p>It's hard to be uncomfortable in the Augusta Pullover Jacket with &frac14; zip. With an incredibly soft fleece lining and textured outer fabric, it offers reliable protection from the elements and a cozy fit as well.</p>
<p>&bull; Pink half-zip pullover. <br />&bull; Front pouch pockets. <br />&bull; Fold-down collar.</p>",57,"Jacket
Pullover
Soft Shell
Windbreaker
&frac14; zip","Hike
Outdoor
Warmup","Fleece
Polyester",Long-Sleeve,"High Collar",Solid,"All-weather
Cool
Indoor
Mild
Spring","Blue
Red
Orange",,,,,,,Top
"Women
Tops
Jackets
Collections
New Luma Yoga Collection
Collections
Performance Fabrics","Ingrid Running Jacket",WJ04,"XS
S
M
L
XL","<p>The Ingrid Running Jacket combines sleek design and high performance with slim, contoured fit and moisture-wicking fabric. It features a full-zip construction and a collared neck to keep the elements out and body heat in. <br />&bull; Slim fit. <br />&bull; Moisture-wicking fabric. <br />&bull; Two side pockets. <br />&bull; Zippered pocket at back waist. <br />&bull; Machine wash/dry.<br />&bull; Ivory specked full zip</p>",84,"Jacket
Lightweight
Full zip","Outdoor
Running
Warmup","Nylon
Polyester
CoolTech&trade;",Long-Sleeve,"High Collar",Solid,"Cool
Spring
Windy
Wintry","White
Orange
Red",,1,,1,,,Top
"Women
Tops
Jackets","Riona Full Zip Jacket",WJ05,"XS
S
M
L
XL","<p>The Riona Basic Zip Jacket makes the perfect extra layer for cold-weather workouts. It features amazing breathability and moisture management, but full-length zipper lets you moderate your core temperature even more.</p>
<p>&bull; Brown heather full zip rouched jacket.<br />&bull; Side hand pockets for extra storage.<br />&bull; High collar.<br />&bull; Thick cuffs for extra coverage.<br />&bull; Durable, shape retention material to longer wear.</p>",60,"Insulated
Jacket
Hooded
Soft Shell
Windbreaker
Full zip","Hike
Outdoor
Running
Warmup
Cross-training","Wool
LumaTech&trade;
Lycra&reg;",Long-Sleeve,"High Collar",Solid,"Cold
Cool
Spring
Wintry","Brown
Green
Red",,,,,,,Top
"Women
Tops
Jackets","Inez Full Zip Jacket",WJ07,"XS
S
M
L
XL","<p>The Inez Full Zip jacket is more than a cute layer. It's a full-on tech wonder you'll use for outdoor, pre and post workout. You'll love how the highlighted zipper and sleeve safety trim protect and catch looks.</p>
<p>&bull; Purple heather inset full zip jacket.<br />&bull; Full zip hoodie.<br />&bull; Contrast binding along the zipper, hood and sleeves.<br />&bull; Inseam pockets for storage.<br />&bull; Thumbholes for comfortable fit.</p>",59,"Insulated
Jacket
Hooded
Soft Shell
Full zip","Outdoor
Running
Warmup
Post-workout","Nylon
Polyester
Spandex
CoolTech&trade;",Long-Sleeve,"High Collar",Color-Blocked,"Cool
Mild
Rainy
Spring
Windy","Purple
Red
Orange",,,,,,,Top
"Women
Tops
Jackets
Promotions
Women Sale
Collections
Erin Recommends","Adrienne Trek Jacket",WJ08,"XS
S
M
L
XL","<p>You're ready for a cross-country jog or a coffee on the patio in the Adrienne Trek Jacket. Its style is unique with stand collar and drawstrings, and it fits like a jacket should.</p>
<p>&bull; gray 1/4 zip pullover.<br />&bull; Comfortable, relaxed fit.<br />&bull; Front zip for venting.<br />&bull; Spacious, kangaroo pockets.<br />&bull; 27"" body length.<br />&bull; 95% Organic Cotton / 5% Spandex.</p>",57.00,"Jacket
Lightweight
Rain Coat
Hard Shell
Windbreaker
&frac14; zip","Hike
Outdoor
Running
Cross-training","Cotton
Spandex",Long-Sleeve,"High Collar",Solid,"All-weather
Cool
Mild
Spring
Wintry","Gray
Purple
Orange",1,,1,,1,48.00,Top
"Women
Tops
Jackets
Collections
Erin Recommends","Jade Yoga Jacket",WJ09,"XS
S
M
L
XL","<p><br />If only all your other jackets were as comfortable as the relaxed-fit Jade Yoga Jacket, perfect for use during stretching, biking to and from studio or strolling on breezy fall days.</p>
<p>&bull; Seafoam 1/4 zip pullover with purple stitching.<br />&bull; Lightweight, quick-drying, water-resistant construction.<br />&bull; Shirred details at front and back for a feminine look.<br />&bull; Hood collapses into collar.<br />&bull; Mesh liner for breathability.<br />&bull; Front zip pockets.<br />&bull; Hem cinches at sideseam.<br />&bull; 100% Polyester.</p>",32,"Jacket
Lightweight
Hooded
Soft Shell
&frac14; zip","Gym
Running
Warmup
Yoga
Cross-training",Polyester,Long-Sleeve,"High Collar",Solid,"Cool
Mild
Spring
Windy","Green
Blue
Gray",1,,1,,,,Top
"Women
Tops
Jackets
Collections
New Luma Yoga Collection
Collections
Performance Fabrics","Nadia Elements Shell",WJ10,"XS
S
M
L
XL","<p>Protect yourself from wind and rain in the stylish Nadia Elements Shell. It repels water using hydro-resistant fabric, with fleece lining that adds a touch of warmth. It's finished with bold contrast zippers, adjustable cuffs and a hood.</p>
<p>&bull; Zippered front. <br />&bull; Zippered side pockets. <br />&bull; Drawstring-adjustable waist and hood. <br />&bull; Machine wash/line dry.<br />&bull; Light blue 1/4 zip pullover.</p>",69,"Insulated
Jacket
Rain Coat
Hard Shell
Windbreaker
Full zip","Hike
Outdoor
Running
Cross-training","Nylon
Polyester
CoolTech&trade;",Long-Sleeve,"High Collar",Solid,"Cool
Mild
Rainy
Spring
Windy","Yellow
Orange
Black",,1,,1,,,Top
"Women
Tops
Jackets
Collections
New Luma Yoga Collection","Neve Studio Dance Jacket",WJ11,"XS
S
M
L
XL","<p>If you're constantly on the move, the Neve Studio Dance Jacket is for you. It's not just for dance, either, with a tight fit that works as a mid-layer. The reversible design makes it even more versatile.</p>
<p>&bull; Bright blue 1/4 zip pullover.<br />&bull; CoolTech&trade; liner is sweat-wicking.<br />&bull; Sleeve thumbholes.<br />&bull; Zipper garage to protect your chin.<br />&bull; Stretchy collar drawcords.</p>",69,"Jacket
Pullover
Hooded
Lightweight
Soft Shell
&frac14; zip
Reversible","Gym
Post-workout
Warmup
Yoga","Lycra&reg;
Mesh
Nylon
CoolTech&trade;",Long-Sleeve,"High Collar",Solid,"Indoor
Mild
Spring","Blue
Black
Orange",,,,1,,,Top
"Women
Tops
Jackets
Promotions
Women Sale
Collections
Performance Fabrics","Juno Jacket",WJ06,"XS
S
M
L
XL","<p>On colder-than-comfortable mornings, you'll love warming up in the Juno All-Ways Performanc Jacket, designed to compete with wind and chill. Built-in Cocona&reg; technology aids evaporation, while a special zip placket and stand-up collar keep your neck protected.</p>
<p>&bull; Adjustable hood.</br>&bull; Fleece-lined, zippered hand pockets.</br>&bull; Thumbhole cuffs.</br>&bull; Full zip.</br>&bull; Mock-neck collar.</br>&bull; Machine wash/dry.</p>",77.00,"Insulated
Jacket
Heavy Duty
Hard Shell
Full zip
Reversible","Outdoor
Gym
Running","Cocona&reg; performance fabric
Fleece",Long-Sleeve,"Stand Collar",Solid,"Cold
Cool
Spring
Windy
Wintry","Purple
Blue
Green",,1,,,1,64.00,Top
"Women
Tops
Jackets
Promotions
Women Sale
Collections
Performance Fabrics","Olivia 1/4 Zip Light Jacket",WJ12,"XS
S
M
L
XL","<p>Running errands or headed to the gym, you just want to be comfortable. The Olivia Light Jacket promises that, plus a laid-back look. This zip-up is designed with shoulder stripes for an athletic touch, and banded waist and contoured seams for a flattering silhouette.</p>
<p>&bull; Loose fit.</br>&bull; Reflectivity.</br>&bull; Flat seams.</br>&bull; Machine wash/dry.</p>",77.00,"Jacket
Pullover
Lightweight
Soft Shell
&frac14; zip","Outdoor
Gym
Running
Warmup
Yoga","Cocona&reg; performance fabric
Nylon
Cotton",Long-Sleeve,"Stand Collar",Solid,"Spring
Warm
Windy","Purple
Blue
Black",,1,,,1,64.00,Top
"Women
Tops
Tees
Promotions
Tees
Collections
New Luma Yoga Collection","Gabrielle Micro Sleeve Top",WS02,"XS
S
M
L
XL
","<p>Luma's most popular top, the Gabrielle Micro Sleeve is back with even more comfort and style.</p>
<p>&bull; Lime green v-neck tee.<br />&bull; Slimming, flattering fit.<br />&bull; Moisture-wicking, quick-drying, anti-microbial, and anti-odor construction.<br />&bull; Longer curved hem provides additional coverage.<br />&bull; 55% Hemp / 45% Organic Cotton.</p>",28,Tee,"Gym
Outdoor
Running
Yoga","Cotton
Hemp","Micro Sleeve",V-neck,Solid,"Indoor
Warm","Green
Red
Blue",,,,1,,,Top
"Women
Tops
Tees
Promotions
Tees
Collections
Performance Fabrics","Iris Workout Top",WS03,"XS
S
M
L
XL
","<p>The Iris Workout Top is sleeveless, body fitting and moisture wicking for a fashionable, functional garment. Rouched textures add style.</p>
<p>&bull; Pink heather rouched v-neck.<br />&bull; Scoop neckline.<br />&bull; Angled flat seams.<br />&bull; Moisture wicking.<br />&bull; Body skimming.<br />&bull; 83% Polyester / 11% TENCEL&reg; Lyocell / 6% Lycra&reg; Spandex.</p>",29,Tee,"Gym
Outdoor
Running
Yoga","Lycra&reg;
Polyester
Spandex
TENCEL",Sleeveless,"Scoop Neck",Solid,"Indoor
Warm","Red
Green
Blue",,1,,,,,Top
"Women
Tops
Tees
Promotions
Tees
Collections
New Luma Yoga Collection
Collections
Eco Friendly","Layla Tee",WS04,"XS
S
M
L
XL","<p>Work out or hang out in chic style in the Layla Tee. With a lightweight sheer design and a roomy neckline, this tee fits you comfortably while looking stylish.</p>
<p>&bull; Teal tee.<br />&bull; Long back hem.<br />&bull; Dropped shoulders.</p>",29,Tee,"Gym
Outdoor
Running
Yoga",Cotton,"Micro Sleeve","Scoop Neck",Solid,"Indoor
Warm","Green
Blue
Red",1,,,1,,,Top
"Women
Tops
Tees
Promotions
Tees
Collections
New Luma Yoga Collection
Collections
Eco Friendly","Elisa EverCool&trade; Tee",WS06,"XS
S
M
L
XL","<p>When rising temps threaten to melt you down, Elisa EverCool&trade; Tee brings serious relief. Moisture-wicking fabric pulls sweat away from your skin, while the innovative seams hug your muscles to enhance your range of motion.</p>
<p>&bull; Purple heather v-neck tee.<br />&bull; Short-Sleeves.<br />&bull; Luma EverCool&trade; fabric. <br />&bull; Machine wash/line dry.</p>",29,Tee,"Running
Yoga
Lounge","EverCool&trade;
Organic Cotton",Short-Sleeve,V-neck,Solid,"Indoor
Warm","Purple
Red
Gray",1,,,1,,,Top
"Women
Tops
Tees
Promotions
Tees
Collections
New Luma Yoga Collection
Collections
Erin Recommends","Juliana Short-Sleeve Tee",WS07,"XS
S
M
L
XL
","<p>The Juliana Short-Sleeve Tee gives you more than sporty style. Consider that its soft Cocona&reg; polyester fabric accelerates evaporation to help keep you dry and comfortable, too. And a selection of colors lets you get more than one.</p>
<p>&bull; Black scoop neck tee.<br />&bull; Side rouching.<br />&bull; Relaxed fit.</p>",42,Tee,"Gym
Outdoor
Running
Yoga","Cocona&reg; performance fabric
Polyester",Short-Sleeve,"Scoop Neck",Solid,"Indoor
Warm","Black
White
Yellow",,1,1,1,,,Top
"Women
Tops
Tees
Promotions
Tees
Promotions
Women Sale","Minerva LumaTech&trade; V-Tee",WS08,"XS
S
M
L
XL
","<p>Don't be fooled by the simple design of our Minerva LumaTech&trade; V-Neck Tee. This classic training top features the same serious sweat-wicking technology as some of the more expensive tees in our lineup.</p>
<p>&bull; Navy blue heather soft v-neck tee.<br />&bull; Flatlock seams for chafe-free comfort.<br />&bull; Relaxed cut.<br />&bull; Ultra-lightweight fabric.<br />&bull; Machine wash/dry.</p>",32.00,Tee,"Gym
Outdoor
Running","Cotton
Lycra&reg;","Micro Sleeve",V-neck,Solid,"Indoor
Warm","Blue
Black
Red",,,,,1,27.00,Top
"Women
Tops
Tees
Promotions
Tees
Promotions
Women Sale
Collections
Eco Friendly","Tiffany Fitness Tee",WS09,"XS
S
M
L
XL","<p>You'll work out and look cute doing it in the short-sleeve Tiffany Fitness Tee. The longer length and fitted cut offer a smoother silhouette, while scoop neck pattern and drape effects lend a trendy touch.</p>
<p>&bull; Teal soft scoop neck tee.<br />&bull; Contrast stitching pattern. <br />&bull; Machine wash/dry.</p>",28.00,Tee,"Running
Yoga","Organic Cotton","Micro Sleeve","Scoop Neck",Solid,"Indoor
Warm","White
Blue
Red",1,,,,1,24.00,Top
"Women
Tops
Tees
Promotions
Tees
Collections
Performance Fabrics","Karissa V-Neck Tee",WS10,"XS
S
M
L
XL
","<p>The Karissa V-Neck Tee features a semi-fitted shape that's flattering for every figure. You can hit the gym with confidence while it hugs curves and hides common ""problem"" areas.</p>
<p>&bull; Pink heather soft v-neck tee. <br />&bull; Luma signature micro sleeves.<br />&bull; Semi-fitted. <br />&bull; Machine wash/dry.</p>",32,Tee,"Gym
Yoga","Cotton
EverCool&trade;","Micro Sleeve",V-neck,Solid,"Indoor
Warm","Red
Yellow
Green",,1,,,,,Top
"Women
Tops
Tees
Promotions
Tees
Promotions
Women Sale
Collections
Erin Recommends","Diva Gym Tee",WS11,"XS
S
M
L
XL
","<p>The Diva Gym Tee feels like your favorite right out of the mailbox. Micro-sleeved, lightweight and extra comfortable, it's a casual staple that hides incredible comfort behind a laid-back, carefree look.</p>
<p>&bull; Bright yellow v-neck tee.<br />&bull; Moisture-wicking fabric. <br />&bull; Long-Sleeves. <br />&bull; Machine wash/line dry.</p>",32.00,Tee,"Gym
Outdoor
Running","Cocona&reg; performance fabric
Polyester","Micro Sleeve",V-neck,Solid,"Indoor
Warm","Yellow
Orange
Green",,,1,,1,28.00,Top
"Women
Tops
Tees
Promotions
Tees
Collections
Performance Fabrics","Radiant Tee",WS12,"XS
S
M
L
XL
","<p>So light and comfy, you'll love the Radiant Tee's organic fabric, feel, performance and style. You may never want to stop moving in this shirt.</p>
<p>&bull; Salmon soft scoop neck tee.<br />&bull; Athletic, semi-form fit.<br />&bull; Flat seams prevent chafing.<br />&bull; 67% Organic Cotton / 28% Hemp / 5% Spandex.</p>",22,Tee,"Gym
Outdoor
Running
Yoga","Hemp
Organic Cotton
Spandex","Micro Sleeve","Scoop Neck",Solid,"Indoor
Warm","Blue
Orange
Purple",1,1,,,,,Top
"Women
Tops
Tees
Promotions
Tees","Gwyn Endurance Tee",WS01,"XS
S
M
L
XL
","<p>When the miles add up, comfort is crucial. The short-sleeve Gwyn Endurance Tee is designed with an ultra-lightweight blend of breathable fabrics to help you tackle your training. Female-specific seams and a sporty v-neckline offer subtle style.</p>
<p>&bull; Short-Sleeves.<br />&bull; Machine wash/line dry.</p>",24,Tee,"Gym
Outdoor
Running","HeatTec&reg;
Polyester",Short-Sleeve,V-neck,Solid,"Indoor
Warm","Black
Green
Yellow",,,,,,,Top
"Women
Tops
Tees
Promotions
Tees","Desiree Fitness Tee",WS05,"XS
S
M
L
XL
","<p>When you're too far to turn back, thank yourself for choosing the Desiree Fitness Tee. Its ultra-lightweight, ultra-breathable fabric wicks sweat away from your body and helps keeps you cool for the distance.</p>
<p>&bull; Short-Sleeves.<br />&bull; Performance fabric.<br />&bull; Machine wash/line dry.</p>",24,Tee,"Gym
Outdoor
Running","HeatTec&reg;
Polyester",Short-Sleeve,Crew,Solid,"Indoor
Warm","Black
Yellow
Orange",,,,,,,Top
"Women
Tops
Bras & Tanks
Promotions
Women Sale
Collections
Eco Friendly","Electra Bra Top",WB01,"XS
S
M
L
XL
","<p>A heavenly soft and stylish eco garment, the Electra Bra Top is perfect for wearing on its own as a hot yoga top or layered under a tank.</p>
<p>&bull; Gray rouched bra top.<br />&bull; Attractive back straps feature contrasting motif fabric.<br />&bull; Interior bra top is lined with breathable mesh.<br />&bull; Elastic underband for superior support.<br />&bull; Removable cup inserts.<br />&bull; Chafe-free flat lock seams provide added comfort.</p>",39.00,Bra,"Gym
Outdoor
Running
Yoga","EverCool&trade;
Organic Cotton
Polyester","Sleeveless
Tank
Strap","Scoop Neck",Solid,"Indoor
Warm","Gray
Black
Purple",1,,,,1,32.00,Top
"Women
Tops
Bras & Tanks","Erica Evercool Sports Bra",WB02,"XS
S
M
L
XL
","<p>Perfect for medium-impact workouts, our Erica EverCool&trade; Sports Bra brings a brilliant combo of comfort and style. Moisture-wicking technology keeps you dry, and the flattering hybrid racerback promises an unbeatable range of motion.</p>
<p>&bull; Honeycomb light blue bra top.<br />&bull; Elastic hem.<br />&bull; Reinforced binding. <br />&bull; Machine wash/dry.</p>",39,Bra,"Gym
Outdoor
Running
Yoga","EverCool&trade;
Lycra&reg;","Sleeveless
Tank
Strap","Scoop Neck",Solid,"Indoor
Warm","Blue
Yellow
Orange",,,,,,,Top
"Women
Tops
Bras & Tanks
Collections
New Luma Yoga Collection
Collections
Performance Fabrics","Celeste Sports Bra",WB03,"XS
S
M
L
XL
","<p>Whatever your goals for the day's workout, the Celeste Sports Bra lets you do it in comfort and coolness, plus enhanced support and shaping. A power mesh back zone and moisture-wicking fabric ensure you stay dry.</p>
<p>&bull; Mint bra top. <br />&bull; Seam-free interior molded cups<br />&bull; Odor control. <br />&bull; UV protection. <br />&bull; Machine wash/dry.</p>",39,Bra,"Gym
Outdoor
Running
Yoga","Cocona&reg; performance fabric
Organic Cotton","Sleeveless
Strap","Scoop Neck",Solid,"Indoor
Warm","Green
Red
Yellow",,1,,1,,,Top
"Women
Tops
Bras & Tanks","Prima Compete Bra Top",WB04,"XS
S
M
L
XL
","<p>Pull on the Prima Compete Bra Top and you'll love the fabric: soft, stretchy, and ultra lightweight. But you'll also love the racerback cut, for freer movement through all your athletic feats. <br />`<br />&bull; Colorblocked details.<br />&bull; Machine wash/line dry.</p>",24,Bra,"Gym
Outdoor
Running
Yoga","EverCool&trade;
Organic Cotton
Spandex","Sleeveless
Strap","Scoop Neck",Solid,"Indoor
Warm","Blue
Purple
Yellow",,,,,,,Top
"Women
Tops
Bras & Tanks","Lucia Cross-Fit Bra ",WB05,"XS
S
M
L
XL
","<p>Being cool is a big part of being comfy, which is why the Lucia Cross-Fit Bra features moisture-wicking technology as well as soft, lightweight fabric.</p>
<p>&bull; Black/white bra top. <br />&bull; Criss-cross back design. <br />&bull; Machine wash/dry.</p>",39,Bra,"Gym
Outdoor
Running
Yoga","Microfiber
Nylon
Polyester",Strap,"Square Neck",Checked,"Indoor
Warm","Black
Purple
Orange",,,,,,,Top
